employee_id,review_period,performance_score,manager_rating
101,2024-Q3,4.31,4.31
101,2024-Q4,4.37,4.35
101,2025-Q1,4.34,4.36
101,2025-Q2,4.52,4.64
102,2024-Q3,3.27,2.93
102,2024-Q4,4.04,4.22
102,2025-Q1,3.51,3.24
102,2025-Q2,3.87,4.01
103,2024-Q3,4.45,4.53
103,2024-Q4,3.89,3.75
103,2025-Q1,4.03,3.99
103,2025-Q2,3.79,4.09
104,2024-Q3,4.05,4.22
104,2024-Q4,3.33,3.46
104,2025-Q1,3.81,3.88
104,2025-Q2,4.02,4.12
105,2024-Q3,4.23,4.32
105,2024-Q4,4.16,3.89
105,2025-Q1,4.12,4.04
105,2025-Q2,3.78,4.03
106,2024-Q3,4.66,4.87
106,2024-Q4,4.29,4.49
106,2025-Q1,4.26,4.29
106,2025-Q2,3.99,4.05
107,2024-Q3,3.74,3.54
107,2024-Q4,3.75,3.73
107,2025-Q1,4.3,4.44
107,2025-Q2,3.84,3.88
108,2024-Q3,3.96,3.93
108,2024-Q4,3.69,3.66
108,2025-Q1,3.82,3.63
108,2025-Q2,4.21,4.27
109,2024-Q3,3.05,3.03
109,2024-Q4,3.87,4.03
109,2025-Q1,3.92,3.92
109,2025-Q2,3.43,3.27
110,2024-Q3,4.12,4.17
110,2024-Q4,4.42,4.59
110,2025-Q1,4.06,3.88
110,2025-Q2,4.05,4.08
111,2024-Q3,4.12,4.04
111,2024-Q4,4.29,4.22
111,2025-Q1,4.08,4.13
111,2025-Q2,4.19,4.22
112,2024-Q3,3.8,3.63
112,2024-Q4,3.63,3.84
112,2025-Q1,3.47,3.16
112,2025-Q2,3.32,3.32
113,2024-Q3,3.96,3.94
113,2024-Q4,4.33,3.93
113,2025-Q1,4.14,4.38
113,2025-Q2,3.75,3.7
114,2024-Q3,3.34,3.21
114,2024-Q4,3.5,3.71
114,2025-Q1,4.14,4.09
114,2025-Q2,4.2,4.21
115,2024-Q3,4.51,4.5
115,2024-Q4,4.1,4.15
115,2025-Q1,4.99,5.0
115,2025-Q2,3.94,4.09
116,2024-Q3,4.08,4.01
116,2024-Q4,4.47,4.48
116,2025-Q1,4.34,4.34
116,2025-Q2,4.39,4.46
117,2024-Q3,3.18,3.28
117,2024-Q4,3.49,3.27
117,2025-Q1,3.78,3.8
117,2025-Q2,3.65,3.77
118,2024-Q3,3.57,3.51
118,2024-Q4,3.83,3.82
118,2025-Q1,4.11,3.96
118,2025-Q2,4.27,4.28
119,2024-Q3,3.02,2.73
119,2024-Q4,3.59,3.55
119,2025-Q1,3.6,3.6
119,2025-Q2,3.73,3.88
120,2024-Q3,3.71,3.53
120,2024-Q4,3.75,3.8
120,2025-Q1,4.45,4.38
120,2025-Q2,3.44,3.18
121,2024-Q3,3.95,3.86
121,2024-Q4,4.11,4.11
121,2025-Q1,4.17,4.33
121,2025-Q2,4.11,3.98
122,2024-Q3,3.85,3.62
122,2024-Q4,3.87,3.88
122,2025-Q1,3.76,4.0
122,2025-Q2,3.67,3.97
123,2024-Q3,3.89,3.7
123,2024-Q4,4.01,3.85
123,2025-Q1,3.82,3.88
123,2025-Q2,4.23,4.13
124,2024-Q3,3.83,4.0
124,2024-Q4,3.99,4.07
124,2025-Q1,4.01,3.73
124,2025-Q2,3.58,3.45
125,2024-Q3,4.05,3.97
125,2024-Q4,4.01,4.3
125,2025-Q1,4.05,4.11
125,2025-Q2,4.07,4.09
126,2024-Q3,4.18,4.25
126,2024-Q4,4.55,4.79
126,2025-Q1,4.35,4.44
126,2025-Q2,3.98,3.96
127,2024-Q3,3.98,4.11
127,2024-Q4,3.82,3.95
127,2025-Q1,3.94,4.12
127,2025-Q2,3.92,3.87
128,2024-Q3,4.04,3.6
128,2024-Q4,4.1,3.55
128,2025-Q1,3.55,3.62
128,2025-Q2,4.2,4.03
129,2024-Q3,3.35,3.56
129,2024-Q4,3.45,3.79
129,2025-Q1,3.63,3.69
129,2025-Q2,4.12,4.14
130,2024-Q3,3.74,3.72
130,2024-Q4,4.05,3.85
130,2025-Q1,4.03,3.92
130,2025-Q2,4.4,4.4
131,2024-Q3,4.1,4.08
131,2024-Q4,4.28,4.37
131,2025-Q1,3.98,3.82
131,2025-Q2,4.61,4.55
132,2024-Q3,3.32,3.39
132,2024-Q4,3.89,3.66
132,2025-Q1,3.86,3.97
132,2025-Q2,3.94,4.04
133,2024-Q3,3.56,3.61
133,2024-Q4,3.91,3.83
133,2025-Q1,4.27,4.5
133,2025-Q2,4.57,4.77
134,2024-Q3,3.52,3.57
134,2024-Q4,3.8,3.82
134,2025-Q1,3.67,3.79
134,2025-Q2,3.65,3.54
135,2024-Q3,3.9,4.0
135,2024-Q4,4.06,4.11
135,2025-Q1,4.29,4.23
135,2025-Q2,4.35,4.41
136,2024-Q3,3.83,4.05
136,2024-Q4,4.08,3.83
136,2025-Q1,3.97,3.81
136,2025-Q2,4.31,4.27
137,2024-Q3,3.63,3.72
137,2024-Q4,3.86,3.9
